NAME                                                READY   STATUS    RESTARTS        AGE   IP             NODE                             NOMINATED NODE   READINESS GATES
eurotransit-catalog-7ddb546679-7f2w8                0/1     Error               0               56m     10.244.1.66    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-inventory-6f94ffd594-6hnrf              0/1     Error               0               50m     10.244.1.32    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-inventory-6f94ffd594-6hnrf              0/1     Error               0               50m     10.244.1.32    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-payments-c8dff8d54-fj5qx                0/1     Error               0               2m12s   10.244.1.93    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-payments-c8dff8d54-fj5qx                0/1     Error               0               2m12s   10.244.1.93    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-catalog-7ddb546679-7f2w8                0/1     Error               0               56m     10.244.1.66    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-catalog-7ddb546679-7f2w8                0/1     Error               0               56m     10.244.1.66    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-d7dfb978b-tm77m                  0/1     Error               0               53m     10.244.1.21    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-d7dfb978b-tm77m                  0/1     Error               0               53m     10.244.1.21    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-d7dfb978b-tm77m                  0/1     Error               0               53m     10.244.1.21    aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-orders-d7dfb978b-cwgg8                  0/1     Running             0               40s     10.244.2.24    aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-orders-d7dfb978b-cwgg8                  1/1     Running             0               41s     10.244.2.24    aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-catalog-7ddb546679-tmhnj                0/1     Running             0               41s     10.244.0.90    aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-catalog-7ddb546679-tmhnj                1/1     Running             0               41s     10.244.0.90    aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-payments-c8dff8d54-nv4sk                0/1     Terminating         0               3m41s   <none>         <none>                           <none>           <none>
eurotransit-payments-c8dff8d54-9wc57                1/1     Terminating         0               5m45s   10.244.2.124   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-payments-c8dff8d54-nv4sk                0/1     Terminating         0               3m41s   <none>         <none>                           <none>           <none>
eurotransit-payments-c8dff8d54-9wc57                1/1     Terminating         0               5m45s   10.244.2.124   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-payments-c8dff8d54-9wc57                0/1     Error               0               5m53s   10.244.2.124   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-inventory-6f94ffd594-d4z7r              0/1     Pending             0               3m49s   <none>         <none>                           <none>           <none>
eurotransit-orders-db-1                             0/1     Pending             0               3m47s   <none>         aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-orders-db-1                             0/1     Init:0/1            0               3m47s   <none>         aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-payments-c8dff8d54-9wc57                0/1     Error               0               5m53s   10.244.2.124   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-payments-c8dff8d54-9wc57                0/1     Error               0               5m53s   10.244.2.124   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-orders-db-1                             0/1     Init:0/1            0               4m2s    10.244.2.246   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-orders-db-1                             0/1     PodInitializing     0               4m4s    10.244.2.246   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-orders-db-1                             0/1     Running             0               4m5s    10.244.2.246   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-orders-db-1                             0/1     Running             0               4m7s    10.244.2.246   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-orders-db-1                             0/1     Running             0               4m12s   10.244.2.246   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-orders-db-1                             1/1     Running             0               4m13s   10.244.2.246   aks-sysb2s-33819783-vmss00000r   <none>           <none>
eurotransit-kafka-dual-role-0                       0/1     Pending             0               0s      <none>         <none>                           <none>           <none>
eurotransit-kafka-dual-role-0                       0/1     Pending             0               0s      <none>         aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-kafka-dual-role-0                       0/1     ContainerCreating   0               0s      <none>         aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-kafka-dual-role-0                       0/1     Running             0               1s      10.244.0.88    aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-kafka-dual-role-0                       1/1     Running             0               42s     10.244.0.88    aks-sysb2s-33819783-vmss00000t   <none>           <none>
eurotransit-kafka-dual-role-2                       1/1     Running             0               60m     10.244.1.129   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-dual-role-2                       1/1     Terminating         0               60m     10.244.1.129   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-dual-role-2                       1/1     Terminating         0               60m     10.244.1.129   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-dual-role-2                       0/1     Completed           0               61m     10.244.1.129   aks-sysb2s-33819783-vmss00000s   <none>           <none>
eurotransit-kafka-dual-role-2                       0/1     Completed           0               61m     10.244.1.129   aks-sysb2s-33819783-vmss00000s   <none>           <none>
